user_id,age,gender,signup_method,signup_flow,affiliate_channel,first_device_type,country_destination
USER_00000,39.0,MALE,basic,0,sem-brand,Windows Desktop,NDF
USER_00001,32.0,OTHER,basic,0,sem-brand,iPhone,NDF
USER_00002,41.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00003,50.0,FEMALE,basic,0,direct,Windows Desktop,other
USER_00004,,FEMALE,basic,0,sem-brand,Windows Desktop,US
USER_00005,31.0,FEMALE,basic,0,other,iPhone,US
USER_00006,51.0,MALE,basic,0,sem-brand,iPhone,NDF
USER_00007,42.0,MALE,basic,0,direct,Mac Desktop,FR
USER_00008,,MALE,basic,0,direct,Android Phone,NDF
USER_00009,39.0,FEMALE,basic,0,other,iPhone,NDF
USER_00010,28.0,MALE,facebook,0,direct,Mac Desktop,NDF
USER_00011,28.0,MALE,google,0,direct,Mac Desktop,NDF
USER_00012,36.0,MALE,basic,0,direct,iPhone,NDF
USER_00013,22.0,MALE,basic,0,other,Windows Desktop,US
USER_00014,25.0,UNKNOWN,google,0,sem-brand,Mac Desktop,ES
USER_00015,27.0,FEMALE,facebook,0,direct,Mac Desktop,NDF
USER_00016,22.0,UNKNOWN,facebook,0,direct,Mac Desktop,other
USER_00017,37.0,FEMALE,basic,3,other,Windows Desktop,US
USER_00018,24.0,OTHER,basic,0,direct,iPhone,NDF
USER_00019,18.0,FEMALE,google,0,direct,Windows Desktop,ES
USER_00020,50.0,FEMALE,basic,0,sem-brand,Windows Desktop,IT
USER_00021,31.0,FEMALE,basic,3,direct,Mac Desktop,NDF
USER_00022,34.0,MALE,facebook,0,direct,Windows Desktop,NDF
USER_00023,18.0,FEMALE,facebook,0,other,Windows Desktop,NDF
USER_00024,28.0,UNKNOWN,google,0,sem-brand,Mac Desktop,US
USER_00025,35.0,FEMALE,basic,0,direct,iPhone,NDF
USER_00026,21.0,FEMALE,basic,0,sem-brand,iPhone,NDF
USER_00027,38.0,UNKNOWN,basic,0,sem-non-brand,Windows Desktop,NDF
USER_00028,27.0,UNKNOWN,facebook,0,direct,Windows Desktop,other
USER_00029,30.0,FEMALE,basic,12,direct,Windows Desktop,NDF
USER_00030,27.0,UNKNOWN,basic,0,direct,Mac Desktop,other
USER_00031,54.0,MALE,facebook,0,direct,Windows Desktop,NDF
USER_00032,33.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00033,22.0,MALE,facebook,0,direct,Mac Desktop,GB
USER_00034,43.0,FEMALE,basic,0,direct,Android Phone,US
USER_00035,20.0,MALE,basic,25,direct,Windows Desktop,other
USER_00036,36.0,MALE,basic,0,direct,Windows Desktop,NDF
USER_00037,22.0,MALE,basic,0,direct,iPhone,US
USER_00038,,MALE,basic,0,other,Windows Desktop,ES
USER_00039,36.0,FEMALE,basic,0,sem-brand,Mac Desktop,DE
USER_00040,42.0,MALE,basic,0,direct,Mac Desktop,FR
USER_00041,35.0,FEMALE,basic,3,direct,Windows Desktop,GB
USER_00042,32.0,MALE,basic,0,direct,Mac Desktop,DE
USER_00043,30.0,MALE,facebook,3,sem-brand,Windows Desktop,US
USER_00044,27.0,OTHER,google,0,other,iPhone,ES
USER_00045,26.0,UNKNOWN,basic,12,direct,Windows Desktop,ES
